20 February 2024,5,Value for Money
17 November 2023,4,Worth paying
19 October 2023,4,Good one and recommended to buy it
02 January 2024,4,Superb quality and reasonable price
02 March 2024,4,Value for money and light weight.Nice look and color.
09 January 2024,4,No issue with the product as of now
20 November 2023,2,Product is good but not very good.... As per price of the product it's ok......
05 November 2023,5,One month experience. Nice product for this price range
02 January 2024,5,Excellent
01 December 2023,5,Worth for the payment.
06 March 2024,4,It meets my requirement. Good one.
21 February 2024,4,Good one and received a genuine product. The feature are as expected
03 March 2024,4,Good performance
07 February 2024,4,Good and value Product
31 January 2024,4,"Bit costly,"
24 January 2024,3,Performance good
23 January 2024,3,Price high
22 January 2024,3,"There was no Amazon packaging, the bill was also not attached and it was delivered after 1 day. The product was good otherwise who would have been responsible?three star for product"
29 November 2023,4,They are really so bad
04 March 2024,4,It's working good
28 February 2024,5,Super quality
